game_id,game_name,col_names
268008982671433,图片记忆B,"c(""phase"", ""stimid"", ""sim"", ""device"", ""resp"", ""rt"", ""type"", ""cresp"", ""acc"")"
355740333933445,图形推理,"c(""itemid"", ""numalts"", ""cresp"", ""resp"", ""device"", ""acc"", ""score"", ""rt"")"
268008982671437,图形推理A,"c(""itemid"", ""numalts"", ""cresp"", ""resp"", ""device"", ""acc"", ""score"", ""rt"")"
268008982642769,图形推理B,"c(""itemid"", ""numalts"", ""cresp"", ""resp"", ""device"", ""acc"", ""score"", ""rt"")"
361750352892805,图形折叠,"c(""itemid"", ""numalts"", ""cresp"", ""resp"", ""device"", ""acc"", ""score"", ""rt"")"
237218388561989,图形折叠A,"c(""itemid"", ""numalts"", ""cresp"", ""resp"", ""device"", ""acc"", ""score"", ""rt"")"
388200929063813,推理测验,"c(""titlelength"", ""itemid"", ""numalts"", ""rt"", ""cresp"", ""resp"", ""score"", ""acc"", ""device"")"
375916542735109,万花筒,"c(""numpic"", ""picid"", ""probepicid"", ""resppicid"", ""acc"", ""outcome"", ""device"", ""rt"")"
268008982642798,位置记忆PRO,"c(""slen"", ""stim"", ""resp"", ""device"", ""correctness"", ""outcome"", ""rt"")"
225525419221509,文字卡片,"c(""block"", ""trial"", ""load"", ""card"", ""type"", ""cresp"", ""resp"", ""acc"", ""rt"", ""device"")"
356101783560965,文字推理,"c(""itemid"", ""numalts"", ""cresp"", ""resp"", ""device"", ""acc"", ""score"", ""rt"")"
268008982642767,文字推理A,"c(""itemid"", ""numalts"", ""cresp"", ""resp"", ""device"", ""acc"", ""score"", ""rt"")"
268008982671447,文字推理B,"c(""itemid"", ""numalts"", ""cresp"", ""resp"", ""device"", ""acc"", ""score"", ""rt"")"
240406295777861,我是大厨,"c(""status"", ""operation"", ""acc"", ""rt"", ""device"")"
324177880433541,物体旋转,"c(""itemid"", ""numalts"", ""cresp"", ""resp"", ""device"", ""acc"", ""score"", ""rt"")"
